epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71465,1.83729,3.78626,2.24671,0.00183,0.55,0.01668,0.00206,2.56702,3.82632,3.13058,6.668e-05,6.668e-05,6.668e-05
2,6.42158,1.42896,3.72503,1.749,0.00322,0.95,0.33014,0.13914,1.04218,3.21421,1.3935,0.000148545,0.000148545,0.000148545
3,7.99642,1.00598,3.00759,1.25565,0.00344,1,0.66517,0.46441,0.83526,2.98288,1.17153,0.000228759,0.000228759,0.000228759
4,9.4962,1.08862,2.73374,1.30195,0.00335,1,0.69174,0.51612,0.81025,2.93457,1.15287,0.000307323,0.000307323,0.000307323
5,11.0125,1.05018,2.6362,1.26591,0.00333,1,0.54229,0.3787,0.86668,2.89459,1.33105,0.000384237,0.000384237,0.000384237
6,12.4972,1.00915,2.45048,1.25168,0.00334,1,0.61731,0.42171,0.90208,2.86155,1.27628,0.0004595,0.0004595,0.0004595
7,14.0161,1.04708,2.24364,1.26194,0.00333,1,0.76737,0.56902,0.77489,2.64715,1.24,0.000533113,0.000533113,0.000533113
8,15.5578,1.07131,2.01541,1.32979,0.00336,1,0.72235,0.50489,0.84204,2.57822,1.31389,0.000605076,0.000605076,0.000605076
9,17.0679,1.05151,1.96851,1.2777,0.72976,0.33831,0.73631,0.52618,0.91851,2.36169,1.65528,0.000675388,0.000675388,0.000675388
10,18.5669,0.98283,1.82034,1.22414,0.69488,0.45,0.53098,0.36102,0.88303,2.47484,1.72818,0.00074405,0.00074405,0.00074405
11,20.0465,1.05271,1.86847,1.28094,0.62471,0.45,0.50814,0.3547,0.94362,2.64985,1.77555,0.000811062,0.000811062,0.000811062
12,21.5436,1.03114,1.69417,1.23862,0.59584,0.42434,0.48796,0.30434,1.07446,2.34571,1.68532,0.000876424,0.000876424,0.000876424
13,22.9685,0.98074,1.80507,1.2045,0.78689,0.43958,0.56691,0.35271,1.00954,2.35901,1.53537,0.000940135,0.000940135,0.000940135
14,24.4984,0.91862,1.73956,1.19173,0.47335,0.5,0.42455,0.27995,1.10966,2.43308,1.61291,0.0010022,0.0010022,0.0010022
15,25.9613,1.08073,1.66122,1.25308,0.60068,0.39309,0.35823,0.2187,1.48519,2.55589,2.00762,0.00106261,0.00106261,0.00106261
16,27.3945,1.03702,1.61287,1.24249,0.58291,0.34327,0.48664,0.33421,1.18905,2.41976,1.6788,0.00112137,0.00112137,0.00112137
17,28.9075,1.04805,1.58104,1.23814,0.76686,0.3,0.43418,0.28506,1.20492,2.67257,1.71512,0.00117848,0.00117848,0.00117848
18,30.3699,0.9593,1.48783,1.1359,0.42948,0.7654,0.54067,0.30599,1.38453,3.21825,1.76499,0.00123394,0.00123394,0.00123394
19,31.7792,0.98234,1.40463,1.19585,0.54973,0.65967,0.59345,0.38187,1.27242,2.29856,1.6842,0.00128774,0.00128774,0.00128774
20,33.2232,0.8995,1.37384,1.17776,0.42764,0.5,0.54137,0.3442,1.36975,2.66758,1.57529,0.0013399,0.0013399,0.0013399
21,34.6751,0.94881,1.34252,1.15633,0.60786,0.36411,0.42124,0.31517,1.36154,2.63127,1.62207,0.00133693,0.00133693,0.00133693
22,36.1427,0.94732,1.33283,1.18537,0.65585,0.35463,0.38437,0.28634,1.53931,2.80567,1.74315,0.00132043,0.00132043,0.00132043
23,37.5667,0.91918,1.36505,1.15055,0.74223,0.44004,0.60408,0.42463,1.43602,2.35417,1.71023,0.00130393,0.00130393,0.00130393
24,39.0052,0.95192,1.4673,1.15791,0.91828,0.65,0.7553,0.48619,1.27063,1.65801,1.6996,0.00128742,0.00128742,0.00128742
25,40.4149,0.95966,1.27281,1.14906,0.72898,0.64474,0.749,0.51522,1.31446,1.54315,1.6857,0.00127092,0.00127092,0.00127092
26,41.8394,0.97605,1.36676,1.18889,0.88832,0.58001,0.65359,0.44339,1.36361,1.68507,1.67525,0.00125442,0.00125442,0.00125442
27,43.2426,0.9608,1.36903,1.19594,0.42468,0.59242,0.46779,0.3198,1.32939,2.14713,1.65491,0.00123791,0.00123791,0.00123791
28,44.668,0.8955,1.20328,1.14212,0.56646,0.25,0.36704,0.28187,1.46985,2.64433,1.71299,0.00122141,0.00122141,0.00122141
29,46.137,0.90716,1.19952,1.13076,0.46262,0.60301,0.50441,0.37774,1.33216,1.96174,1.64724,0.00120491,0.00120491,0.00120491
30,47.5793,0.9266,1.12319,1.1439,0.65947,0.65,0.63371,0.44231,1.43441,1.75907,1.74015,0.0011884,0.0011884,0.0011884
31,49.0434,0.88608,1.10645,1.11199,0.69479,0.75,0.69992,0.49609,1.19369,1.75661,1.6218,0.0011719,0.0011719,0.0011719
32,50.5186,0.87064,1.11818,1.12976,0.67039,0.7689,0.71325,0.51626,1.25179,1.70559,1.48731,0.0011554,0.0011554,0.0011554
33,52.021,0.91962,1.06249,1.13324,0.77557,0.64983,0.78063,0.5522,1.07031,1.46358,1.47524,0.00113889,0.00113889,0.00113889
34,53.5035,0.98708,1.14419,1.15423,0.86855,0.71268,0.84001,0.61842,1.0531,1.29926,1.46282,0.00112239,0.00112239,0.00112239
35,54.9582,0.88347,0.97818,1.12426,0.85131,0.8442,0.87328,0.66265,1.0103,1.18391,1.28123,0.00110589,0.00110589,0.00110589
36,56.5209,0.90897,1.16008,1.15054,0.93968,0.85,0.95176,0.72029,0.89427,1.05589,1.20579,0.00108938,0.00108938,0.00108938
37,58.0598,0.86032,1.11924,1.11579,0.92434,0.93944,0.96394,0.74019,0.92322,0.97052,1.21724,0.00107288,0.00107288,0.00107288
38,59.5844,0.81037,0.96286,1.07083,0.91868,0.95,0.96987,0.75894,0.87397,0.92368,1.19142,0.00105638,0.00105638,0.00105638
39,60.9594,0.85725,1.08685,1.1227,0.9799,0.94234,0.97833,0.73374,0.88146,0.95581,1.23649,0.00103987,0.00103987,0.00103987
40,62.588,0.85397,1.06272,1.13689,0.84865,0.78801,0.80425,0.62233,0.81844,1.25119,1.1811,0.00102337,0.00102337,0.00102337
41,65.5531,0.87673,1.11197,1.12693,0.98205,0.94006,0.97833,0.78452,0.82885,0.87385,1.20692,0.00100687,0.00100687,0.00100687
42,68.769,0.85769,1.02567,1.11023,0.9746,0.9,0.98591,0.78544,0.83754,0.8609,1.18894,0.000990365,0.000990365,0.000990365
43,70.8966,0.81999,0.91466,1.09919,0.95596,0.9,0.97833,0.77035,0.85017,0.87127,1.23793,0.000973861,0.000973861,0.000973861
44,72.3533,0.82778,0.99692,1.10399,0.92681,0.90534,0.9451,0.76073,0.77622,0.87244,1.15698,0.000957358,0.000957358,0.000957358
45,73.7673,0.85221,0.95698,1.11481,0.9751,0.9,0.95351,0.7635,0.79896,0.85627,1.14292,0.000940855,0.000940855,0.000940855
46,75.1722,0.77308,0.87808,1.06071,0.99085,0.95,0.97625,0.81521,0.76368,0.77294,1.06275,0.000924352,0.000924352,0.000924352
47,76.66,0.76288,0.82861,1.03351,0.97868,0.94908,0.98667,0.78651,0.82071,0.81027,1.08568,0.000907848,0.000907848,0.000907848
48,78.1395,0.79014,0.92142,1.10827,0.97858,1,0.995,0.80899,0.80059,0.68914,1.09967,0.000891345,0.000891345,0.000891345
49,79.6166,0.82145,0.86302,1.11325,1,0.83092,0.95279,0.77696,0.71276,0.77078,1.02315,0.000874842,0.000874842,0.000874842
50,81.0443,0.86639,0.89082,1.10568,0.76303,0.88839,0.8675,0.65173,0.89065,0.96018,1.18493,0.000858338,0.000858338,0.000858338
51,82.4639,0.8698,0.86715,1.07632,0.74516,0.95,0.8935,0.6729,0.93783,0.99825,1.2159,0.000841835,0.000841835,0.000841835
52,83.8933,0.85302,0.96981,1.10961,0.91931,0.78302,0.92536,0.73395,0.88791,0.90086,1.20127,0.000825332,0.000825332,0.000825332
53,85.2746,0.79509,0.83347,1.06842,0.87663,0.89112,0.95444,0.79283,0.79686,0.83226,1.12048,0.000808828,0.000808828,0.000808828
54,87.1381,0.78374,0.79102,1.08471,0.87956,0.94578,0.95719,0.7598,0.75508,0.80589,1.06053,0.000792325,0.000792325,0.000792325
55,88.5312,0.76512,0.79005,1.0358,0.87726,0.94581,0.96677,0.79149,0.79825,0.78697,1.05463,0.000775822,0.000775822,0.000775822
56,89.9319,0.7339,0.81311,1.02384,0.75217,0.95541,0.94738,0.67597,1.01779,0.94937,1.2912,0.000759318,0.000759318,0.000759318
57,91.346,0.79043,0.78636,1.09941,0.79158,0.87353,0.93677,0.7087,0.9243,0.98209,1.24717,0.000742815,0.000742815,0.000742815
58,92.7067,0.75182,0.77034,1.05616,0.87782,0.84256,0.93228,0.74163,0.8099,0.99183,1.11829,0.000726312,0.000726312,0.000726312
59,94.1074,0.73179,0.76769,1.02476,0.79391,0.91781,0.94263,0.76211,0.78534,0.91582,1.07292,0.000709809,0.000709809,0.000709809
60,95.5613,0.80776,0.8338,1.11109,0.93392,0.99608,0.98591,0.78727,0.84107,0.6448,1.14496,0.000693305,0.000693305,0.000693305
61,96.9824,0.70465,0.72325,1.03597,0.99445,0.97954,0.995,0.75485,0.95067,0.6381,1.23571,0.000676802,0.000676802,0.000676802
62,98.3709,0.70369,0.71141,1.0442,0.9942,1,0.995,0.77183,0.86739,0.60036,1.17047,0.000660299,0.000660299,0.000660299
63,99.7699,0.67401,0.66538,1.02991,0.98641,1,0.995,0.79753,0.76072,0.56835,1.0601,0.000643795,0.000643795,0.000643795
64,101.217,0.69788,0.68554,1.0103,0.98499,1,0.995,0.80268,0.71944,0.55392,1.00885,0.000627292,0.000627292,0.000627292
65,102.602,0.67228,0.74264,1.0402,0.99375,1,0.995,0.81019,0.75743,0.54009,1.02585,0.000610789,0.000610789,0.000610789
66,104.008,0.65553,0.66468,0.99958,0.99049,1,0.995,0.79889,0.78485,0.52111,1.03959,0.000594286,0.000594286,0.000594286
67,105.373,0.66172,0.77069,1.02623,0.99133,1,0.995,0.79185,0.72468,0.49675,1.01333,0.000577782,0.000577782,0.000577782
68,106.803,0.65099,0.66268,1.00049,0.98632,1,0.995,0.81575,0.72292,0.52897,1.0303,0.000561279,0.000561279,0.000561279
69,108.205,0.62495,0.63097,1.03341,0.98984,1,0.995,0.7881,0.80996,0.5178,1.07967,0.000544776,0.000544776,0.000544776
70,109.625,0.63251,0.63334,1.01268,0.99232,1,0.995,0.7797,0.84313,0.53124,1.10669,0.000528272,0.000528272,0.000528272
71,111.024,0.63295,0.65003,1.00971,0.99181,1,0.995,0.79442,0.81182,0.51237,1.09373,0.000511769,0.000511769,0.000511769
72,112.526,0.7038,0.68202,1.05297,0.99222,1,0.995,0.80344,0.76383,0.53234,1.06636,0.000495266,0.000495266,0.000495266
73,113.974,0.66095,0.6767,0.98793,0.98409,1,0.995,0.80631,0.80466,0.52808,1.09124,0.000478762,0.000478762,0.000478762
74,115.375,0.65101,0.68158,1.03309,0.98283,1,0.995,0.79844,0.80331,0.51834,1.08135,0.000462259,0.000462259,0.000462259
75,116.842,0.64965,0.65876,1.00483,0.98435,1,0.995,0.79474,0.7955,0.48718,1.07419,0.000445756,0.000445756,0.000445756
76,118.375,0.65794,0.66191,1.01194,0.98917,0.95,0.99045,0.83716,0.74,0.51794,1.05254,0.000429253,0.000429253,0.000429253
77,119.805,0.6491,0.64326,0.98757,0.94146,0.95,0.98591,0.82082,0.75478,0.55317,1.07934,0.000412749,0.000412749,0.000412749
78,121.251,0.66676,0.68972,1.05422,0.9471,0.99292,0.995,0.8112,0.78557,0.50551,1.11458,0.000396246,0.000396246,0.000396246
79,122.62,0.62397,0.61148,0.9813,0.98836,1,0.995,0.78698,0.83565,0.47197,1.16906,0.000379743,0.000379743,0.000379743
80,124.104,0.5683,0.59404,0.98681,0.99842,0.99888,0.995,0.79294,0.80446,0.47739,1.13726,0.000363239,0.000363239,0.000363239
81,125.491,0.62489,0.56428,0.99396,0.99486,1,0.995,0.81179,0.7548,0.4651,1.1003,0.000346736,0.000346736,0.000346736
82,126.937,0.58959,0.60241,0.97276,0.98129,1,0.995,0.82787,0.72633,0.46748,1.09065,0.000330233,0.000330233,0.000330233
83,128.353,0.60284,0.60055,0.98547,0.94462,1,0.995,0.8131,0.74685,0.49294,1.10324,0.000313729,0.000313729,0.000313729
84,129.783,0.59686,0.60572,0.9604,0.93052,0.99674,0.95864,0.76744,0.79054,0.54501,1.1145,0.000297226,0.000297226,0.000297226
85,131.195,0.6238,0.65777,1.01414,0.92859,0.99677,0.95409,0.75449,0.7963,0.54853,1.10957,0.000280723,0.000280723,0.000280723
86,132.668,0.63267,0.62192,1.01944,0.93468,0.99694,0.96773,0.78365,0.78015,0.52908,1.09335,0.00026422,0.00026422,0.00026422
87,134.089,0.54126,0.58479,0.9483,0.8988,0.99698,0.96167,0.801,0.73795,0.5233,1.06072,0.000247716,0.000247716,0.000247716
88,135.54,0.53009,0.55526,0.97249,0.92361,0.99689,0.96318,0.80178,0.69337,0.51707,1.02799,0.000231213,0.000231213,0.000231213
89,136.968,0.57785,0.57199,0.99145,0.92273,0.99699,0.96318,0.81406,0.6928,0.52545,1.02297,0.00021471,0.00021471,0.00021471
90,138.376,0.57435,0.57705,0.99524,0.92175,0.99709,0.96318,0.81456,0.69288,0.5189,1.01857,0.000198206,0.000198206,0.000198206
91,145.097,0.42735,0.59075,0.86857,0.92226,0.99709,0.95409,0.76753,0.70892,0.51756,1.03148,0.000181703,0.000181703,0.000181703
92,146.514,0.42154,0.56895,0.89966,0.92189,0.9971,0.95409,0.77243,0.72463,0.51704,1.05145,0.0001652,0.0001652,0.0001652
93,147.903,0.41196,0.58938,0.89248,0.92092,0.99715,0.95409,0.77532,0.72425,0.52747,1.05642,0.000148696,0.000148696,0.000148696
94,149.297,0.40452,0.61029,0.8955,0.91967,0.99721,0.95864,0.7922,0.71577,0.54729,1.05753,0.000132193,0.000132193,0.000132193
95,150.673,0.41273,0.64414,0.90487,0.91916,0.99722,0.95864,0.79539,0.70029,0.55703,1.05032,0.00011569,0.00011569,0.00011569
96,152.107,0.41104,0.53508,0.88954,0.94472,0.95,0.95864,0.79386,0.68492,0.55523,1.03825,9.91865e-05,9.91865e-05,9.91865e-05
97,153.485,0.40818,0.53318,0.87688,0.94479,0.95,0.95864,0.7937,0.68407,0.557,1.03858,8.26832e-05,8.26832e-05,8.26832e-05
98,154.887,0.41692,0.54464,0.91215,0.94493,0.95,0.95409,0.78144,0.69286,0.55636,1.04546,6.61799e-05,6.61799e-05,6.61799e-05
99,156.293,0.39928,0.53891,0.88475,0.94477,0.95,0.95409,0.77947,0.69895,0.54771,1.05079,4.96766e-05,4.96766e-05,4.96766e-05
100,157.721,0.41007,0.54856,0.8843,0.91981,0.99719,0.95864,0.7872,0.69981,0.53496,1.05205,3.31733e-05,3.31733e-05,3.31733e-05
